column1_charwithnull,column2_char,column3_cat1,column4_cat2,column5_int,column6_formula
,N,SS,B,2323,25194.444444444445
Y,Y,SS,G,147,13437.833333333334
N,Y,SS,A+,326,20733.69230769231
N,Y,SS,A+,2776,78922.5
Y,Y,COMP,B,1113,13652.07142857143
,N,COMP,B,25,20164.727272727272
Y,Y,SS,A,774,15670.42857142857
N,N,COMP,B,992,6214.666666666667
,N,COMP,G,2581,9120.57142857143
Y,N,COMP,A,1294,16774.0
N,Y,SS,B,1559,128967.0
Y,N,SS,A,658,259.0
N,N,COMP,G,691,3681.4615384615386
Y,Y,COMP,A+,2766,232078.0
N,Y,SS,G,688,25954.0
,Y,SS,B,738,30080.222222222223
N,N,COMP,G,2114,96666.33333333333
N,Y,COMP,A+,246,59308.0
Y,N,COMP,A+,2197,13814.111111111111
Y,Y,SS,A+,2471,7322.125
Y,Y,SS,A+,1289,24863.0
Y,N,SS,G,2770,13081.714285714286
,N,COMP,G,855,144992.0
Y,Y,SS,A,135,16844.1
,Y,COMP,B,2654,56493.0
N,Y,SS,G,2619,36655.666666666664
,Y,COMP,G,641,11672.25
,Y,COMP,A+,2358,11524.307692307691
Y,N,SS,A,1011,12059.692307692309
N,Y,SS,A,1952,864.4666666666667
,Y,SS,G,2673,75217.5
Y,N,SS,A+,958,21246.333333333332
N,Y,SS,G,1921,2612.1428571428573
Y,Y,COMP,A+,1710,36242.57142857143
N,N,SS,G,1140,61771.75
,N,COMP,G,1830,4250.777777777777
Y,Y,COMP,A,2799,29528.0
N,N,COMP,B,1837,9013.857142857143
,Y,COMP,A+,1179,19434.0
N,Y,COMP,A+,1311,17009.53846153846
N,N,SS,B,676,10183.642857142857
Y,Y,SS,A,1497,6411.125
N,N,SS,B,259,20180.076923076922
,Y,COMP,A,1540,6401.6
N,N,COMP,G,559,138997.0
Y,N,COMP,G,2533,9484.153846153846
Y,Y,COMP,A+,825,1792.5
Y,Y,SS,A,2577,21395.1
N,Y,COMP,B,258,13865.2
N,N,COMP,A+,2421,44525.0
N,Y,SS,A,1136,16937.4
Y,N,SS,G,63,142606.0
N,Y,SS,G,1338,61864.25
N,Y,COMP,B,2459,18923.428571428572
Y,Y,SS,A,14,40900.8
Y,Y,COMP,B,1026,12565.692307692309
,Y,COMP,A,288,15740.933333333332
Y,N,SS,A+,1277,4047.0
Y,Y,COMP,A,1442,18938.11111111111
Y,Y,COMP,B,262,7164.090909090909
Y,N,COMP,B,789,12073.92857142857
,Y,SS,B,1132,19157.272727272728
Y,Y,SS,A+,1583,74701.25
Y,Y,COMP,A+,313,13692.76923076923
N,Y,SS,A+,2041,20931.875
Y,N,COMP,G,1848,832.2857142857143
,Y,COMP,G,597,161954.0
,N,SS,G,628,35795.0
Y,N,SS,A+,1963,37100.333333333336
N,Y,COMP,A+,1080,27974.833333333332
,Y,SS,A+,1101,9648.5
Y,Y,COMP,B,1345,983.0
,N,COMP,G,2789,3783.9166666666665
Y,Y,COMP,B,1237,59461.0
,N,COMP,B,142,6088.666666666667
,N,SS,B,510,8845.857142857143
N,Y,COMP,B,2604,47898.5
Y,Y,SS,G,941,26469.5
Y,Y,SS,B,2635,58561.5
,Y,SS,B,1644,15684.0
N,Y,SS,G,605,10313.466666666667
Y,N,SS,B,106,70674.75
N,Y,SS,G,2404,20363.923076923078
N,N,SS,A,2260,12320.0
Y,N,COMP,A,1995,5712.333333333333
,Y,SS,A,2276,14341.0
Y,Y,SS,G,1680,18809.2
N,N,SS,G,1029,3550.733333333333
Y,N,COMP,G,2630,4286.0
,N,SS,B,879,10583.666666666666
N,Y,COMP,A+,1928,19176.9
,N,SS,G,2290,54750.25
Y,N,COMP,A+,680,41895.4
N,N,SS,B,1814,218888.0
,Y,COMP,A,904,5399.2
,Y,COMP,B,97,21888.85714285714
,N,SS,B,237,7820.0
,N,SS,B,2178,1790.7142857142858
N,Y,COMP,A+,2363,1869.6153846153845
,Y,SS,A+,1616,7132.5
,N,COMP,G,1969,107483.0
,N,SS,B,201,5668.066666666667
N,N,COMP,G,126,20881.0
N,Y,SS,G,1298,15367.0
N,N,SS,G,112,5501.454545454545
,Y,COMP,A,1544,12278.25
,N,COMP,A,1013,45708.666666666664
,Y,COMP,A+,1580,87552.66666666667
,N,SS,A+,2586,26592.833333333332
N,N,SS,A+,1914,20747.0
,N,COMP,G,260,28982.285714285714
N,Y,SS,A+,2395,34094.8
Y,Y,COMP,A,1469,23622.416666666668
,Y,COMP,A,2487,201568.0
,Y,COMP,G,1425,16506.153846153848
N,N,COMP,A+,2699,3677.5
,N,COMP,A,854,19983.14285714286
Y,N,COMP,A+,1457,26382.555555555555
N,Y,COMP,G,1093,55540.333333333336
Y,N,SS,A,147,41244.5
Y,Y,SS,A,2063,46832.75
,Y,SS,B,1936,61425.0
,N,SS,A+,1373,10338.833333333334
,Y,SS,B,809,93232.0
N,Y,COMP,A,153,45140.166666666664
N,Y,SS,B,1233,225358.0
,N,COMP,G,2668,14136.133333333333
,N,COMP,A+,505,45469.0
N,N,COMP,G,2372,33848.833333333336
,N,SS,B,2289,40465.8
N,Y,COMP,A,2160,26777.8
,N,SS,A,822,33178.0
,N,COMP,B,1205,15844.2
N,N,SS,A,1289,12465.363636363636
,Y,SS,G,1640,38593.0
Y,Y,SS,G,2729,2577.6153846153848
Y,Y,SS,B,1567,17149.416666666668
Y,N,COMP,A,968,32241.0
,N,SS,B,1204,8437.666666666666
Y,Y,COMP,A+,1329,43645.5
Y,Y,COMP,B,1342,17172.785714285714
Y,N,SS,B,400,4449.285714285715
N,Y,SS,A,2361,15672.5
